bucket,action_type,exact_action,campaign,ad_group,keyword_or_search_term,match_type,evidence,risk,rollback,decision
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative the favours wedding band,Shared negative list,All search campaigns,the favours wedding band,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.37, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
APPROVE_NOW,negative,APPROVE_NOW: Phrase negative deja vu wedding band,Shared negative list,All search campaigns,deja vu wedding band galway,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.36, conversions 0.00.","Medium-low: phrase negative is narrow to a competitor/service phrase, but verify not already covered.",Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative the waxies wedding band,Shared negative list,All search campaigns,the waxies wedding band,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.36, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative up to 90 band,Shared negative list,All search campaigns,up to 90 band cork,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.37, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative hell for leather band,Shared negative list,All search campaigns,hell for leather band cork,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.33, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
APPROVE_NOW,negative,APPROVE_NOW: Phrase negative wedding saxophone player,Shared negative list,All search campaigns,wedding saxophone player ireland,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 2.14, conversions 0.00.","Medium-low: phrase negative is narrow to a competitor/service phrase, but verify not already covered.",Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
APPROVE_NOW,negative,APPROVE_NOW: Exact negative traditional irish wedding songs to walk down the aisle,Shared negative list,All search campaigns,traditional irish wedding songs to walk down the aisle,Exact,"Informational song-list intent with no conversion evidence; exact negative only. Source cost 1.40, conversions 0.00.",Low: exact informational mismatch.,Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
APPROVE_NOW,negative,APPROVE_NOW: Exact negative irish wedding songs,Shared negative list,All search campaigns,irish wedding songs,Exact,"Informational song-list intent with no conversion evidence; exact negative only. Source cost 1.39, conversions 0.00.",Low: exact informational mismatch.,Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
APPROVE_NOW,final URL,Set Exact keyword the beat boutique wedding band final URL to https://musicangel.ie/the-beat-boutique/,Search - Brand & Bands,Band names,the beat boutique wedding band,Exact,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Phrase keyword the beat boutique wedding band final URL to https://musicangel.ie/the-beat-boutique/,Search - Brand & Bands,Band names,the beat boutique wedding band,Phrase,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Exact keyword beat boutique band final URL to https://musicangel.ie/the-beat-boutique/,Search - Brand & Bands,Band names,beat boutique band,Exact,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Phrase keyword beat boutique band final URL to https://musicangel.ie/the-beat-boutique/,Search - Brand & Bands,Band names,beat boutique band,Phrase,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Exact keyword sway social wedding band final URL to https://musicangel.ie/sway-social/,Search - Brand & Bands,Band names,sway social wedding band,Exact,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Phrase keyword sway social wedding band final URL to https://musicangel.ie/sway-social/,Search - Brand & Bands,Band names,sway social wedding band,Phrase,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Exact keyword the best men wedding band final URL to https://musicangel.ie/the-best-men/,Search - Brand & Bands,Band names,the best men wedding band,Exact,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Phrase keyword the best men wedding band final URL to https://musicangel.ie/the-best-men/,Search - Brand & Bands,Band names,the best men wedding band,Phrase,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Exact keyword blacktye wedding band final URL to https://musicangel.ie/blacktye/,Search - Brand & Bands,Band names,blacktye wedding band,Exact,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Phrase keyword blacktye wedding band final URL to https://musicangel.ie/blacktye/,Search - Brand & Bands,Band names,blacktye wedding band,Phrase,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Exact keyword blacktye band final URL to https://musicangel.ie/blacktye/,Search - Brand & Bands,Band names,blacktye band,Exact,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
APPROVE_NOW,final URL,Set Phrase keyword blacktye band final URL to https://musicangel.ie/blacktye/,Search - Brand & Bands,Band names,blacktye band,Phrase,"Brand & Bands has 18 clicks, EUR 15.81 spend, 1 Google Ads conversion, and 2 verified paid leads including Andrea/David. Clean target URL validated 200 with enquiry form and attribution JS.",Low. URL edits can still trigger review; rollback is simple.,Restore keyword final URL to https://musicangel.ie/compare-bands/.,APPROVE_NOW
HOLD,budget,Do not reduce County yet; reduce EUR 1-2/day only after another EUR 40-50 County spend without a D1 paid lead.,Search - County Wedding Bands,All,n/a,n/a,County has one Cork conversion/paid lead; non-Cork spend is weak but small-sample.,Premature reduction could cut viable county demand.,Restore prior County daily budget.,HOLD
HOLD,bidding,No Maximize Conversions / PMax / broad match / budget increase.,All,All,n/a,n/a,Only 7 verified paid leads and booked-wedding revenue not connected.,Premature automation/scaling.,n/a,HOLD
NEEDS_EXPORT,tracking,Export Landing Pages for Today only or segment Landing Pages by Day.,All,All,ignore landing pages,n/a,May22-Jun12 Landing Pages report has ignore rows but no date column; production redirect validates clean.,Cannot prove freshness without dated export.,n/a,NEEDS_EXPORT
